SMILES,T1,T2,T3,T4,T5,K1,K2,K3,K4,K5,Intercept,Coefficients
C(Cl)(Cl)CCl,482,420.625,359.25,297.875,236.5,0.08682446,0.102166369,0.117508277,0.132850186,0.148192095,-3.077325565,323.2861138
C(Cl)(Cl)(Cl)C,483.15,423.1375,363.125,303.1125,243.1,0.06426607,0.076236763,0.088207456,0.10017815,0.112148843,-3.43524714,352.2291977
c1(Cl)c(Cl)cc(Cl)cc1,486.15,437.15,388.15,339.15,290.15,0.090889996,0.096320666,0.101751336,0.107182006,0.112612676,-2.765262783,182.8301879
ClC(Cl)(Cl)C(=O)Cl,391.15,347.4125,303.675,259.9375,216.2,0.093537045,0.102309475,0.111081905,0.119854336,0.128626766,-2.836403039,189.064382
C[Ge](Cl)(Cl)Cl,384.15,341.6125,299.075,256.5375,214,0.081360453,0.08885471,0.096348967,0.103843223,0.11133748,-2.97591224,185.5113182
C(Cl)(Cl)(Cl)C=O,370.85,332.1375,293.425,254.7125,216,0.10487341,0.114373457,0.123873505,0.133373553,0.1428736,-2.760368701,192.8554433
CCCCN(CCCC)CCCC,487.15,416.1125,345.075,274.0375,203,0.09378671,0.103774583,0.113762455,0.123750328,0.1337382,-2.687779418,168.6556359
C=CCN(CC=C)CC=C,423.65,367.7375,311.825,255.9125,200,0.073353782,0.083491837,0.093629891,0.103767946,0.113906,-3.098762537,218.5925017
CCCCCN(CCCCC)CCCCC,516.15,451.8625,387.575,323.2875,259,0.072867895,0.085256096,0.097644298,0.110032499,0.1224207,-3.258479723,348.0623169
c1(C)c(N)cccc1,473.49,417.485,361.48,305.475,249.47,0.121942769,0.135490379,0.149037988,0.162585597,0.176133207,-2.596551575,243.0054443
c1(C)cc(N)ccc1,476.52,417.865,359.21,300.555,241.9,0.118980291,0.132320784,0.145661278,0.159001771,0.172342264,-2.592009261,231.2048094
c1(CS)ccccc1,472.03,415.01,357.99,300.97,243.95,0.109169386,0.120523209,0.131877031,0.143230854,0.154584676,-2.663650465,221.2175257
c1(C)c(N=C=O)cccc1(N=C=O),522,464.3625,406.725,349.0875,291.45,0.08788124,0.09759777,0.1073143,0.117030829,0.126747359,-2.981303868,296.9648584
C1=CC(=C(C=C1N=C=O)N=C=O)C,524.15,464.8725,405.595,346.3175,287.04,0.09950231,0.111867597,0.124232883,0.13659817,0.148963456,-2.89113709,317.7029936
c1cc(C)ccc1C=O,480.4,427.05,373.7,320.35,267,0.111245992,0.122503909,0.133761826,0.145019743,0.15627766,-2.700531758,250.8541398
[Ti+4].[Cl-].[Cl-].[Cl-].[Cl-],409,369.0125,329.025,289.0375,249.05,0.132954567,0.136822838,0.140691109,0.144559379,0.14842765,-2.213546137,81.6988036
S1C=CC=C1,357.31,326.7175,296.125,265.5325,234.94,0.134147953,0.140275019,0.146402085,0.152529151,0.158656217,-2.371911924,131.7361665
ClS(=O)Cl,348.75,303.725,258.7,213.675,168.65,0.12560545,0.137544279,0.149483108,0.161421937,0.173360766,-2.443579418,135.4334998
OCCSCCO,555.15,482.1,409.05,336,262.95,0.131227048,0.152510165,0.173793283,0.1950764,0.216359518,-2.587661219,328.6244681
S1CC1,328.08,287.0975,246.115,205.1325,164.15,0.106758892,0.116137737,0.125516582,0.134895427,0.144274273,-2.602676131,125.5377966
S1CCCC1,394.27,339.9475,285.625,231.3025,176.98,0.120487734,0.132013339,0.143538944,0.155064549,0.166590153,-2.44440569,137.6819483
S1CCC1,368.12,326.0675,284.015,241.9625,199.91,0.114001449,0.12361423,0.133227011,0.142839792,0.152452573,-2.582234655,156.6604333
[N+](=O)([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],398.85,370.9,342.95,315,287.05,0.08935671,0.09705414,0.10475157,0.112449,0.12014643,-3.263410419,342.1882761
C[Si](C)(C)C,299.8,268.3675,236.935,205.5025,174.07,0.114259046,0.124953325,0.135647605,0.146341884,0.157036164,-2.685821458,159.437879
CC(C)C(C)(C)C(C)C,414.7,353.7825,292.865,231.9475,171.03,0.086057708,0.097653963,0.109250219,0.120846474,0.132442729,-2.837693574,173.1248811
CC(C)(C)CC(C)(C)C,395.44,348.3175,301.195,254.0725,206.95,0.08341024,0.09302323,0.10263622,0.11224921,0.1218622,-2.985543253,206.9953546
CC(C)(C)C(C)C(C)C,406.18,342.65,279.12,215.59,152.06,0.085141586,0.097358405,0.109575224,0.121792043,0.134008862,-2.81629147,158.4960001
CC(C)(C)C(C)(C)CC,413.44,375.895,338.35,300.805,263.26,0.086224848,0.093670022,0.101115195,0.108560369,0.116005542,-3.047496005,251.7185738
CC(C)(C)CCC(C)(C)C,410.61,373.095,335.58,298.065,260.55,0.078514128,0.086101536,0.093688945,0.101276354,0.108863763,-3.197503384,273.8405968
CC(C)(C)C(C)(C)CCC,433.46,379.8825,326.305,272.7275,219.15,0.082125071,0.092105488,0.102085905,0.112066321,0.122046738,-2.991775819,223.8226799
CN(C)CCN(C)C,394.15,350.125,306.1,262.075,218.05,0.102674467,0.113966439,0.125258411,0.136550383,0.147842356,-2.813101144,219.2978103
c1(C)c(C)c(C)cc(C)c1,471.15,415.7275,360.305,304.8825,249.46,0.093527095,0.104317856,0.115108617,0.125899377,0.136690138,-2.88271056,251.9896845
c1(C)c(C)c(C)c(C)cc1,478.19,425.3675,372.545,319.7225,266.9,0.094625437,0.10483497,0.115044502,0.125254035,0.135463568,-2.895604356,266.1743674
CO[Si](OC)(OC)OC,393.27,363.415,333.56,303.705,273.85,0.132394957,0.140765702,0.149136447,0.157507192,0.165877937,-2.599809921,230.0748848
C1CCCc2ccccc21,480.77,419.9225,359.075,298.2275,237.38,0.119860728,0.123122154,0.12638358,0.129645006,0.132906432,-2.242457302,60.61032303
OCC1OCCC1,450.8,386.35,321.9,257.45,193,0.1094026,0.124902825,0.14040305,0.155903275,0.1714035,-2.637056654,206.2765724
C1COCC1,339.12,295.5025,251.885,208.2675,164.65,0.10983912,0.120699878,0.131560635,0.142421393,0.15328215,-2.593177595,137.196
CC(F)(F)CC(C)(F)F,412.4,374.3,336.2,298.1,260,0.066400972,0.074915179,0.083429386,0.091943593,0.1004578,-3.530976984,345.7298835
CC[Si](CC)(CC)CC,426.56,367.5825,308.605,249.6275,190.65,0.097135005,0.110518179,0.123901353,0.137284528,0.150667702,-2.775218265,202.4726269
NCCNCCNCCNCCN,606.15,515.3625,424.575,333.7875,243,0.11095695,0.129749963,0.148542975,0.167335988,0.186129,-2.642438827,294.6269684
COCCOCCOCCOCCOC,548.95,472.575,396.2,319.825,243.45,0.087634135,0.103573597,0.11951306,0.135452523,0.151391985,-2.981889792,323.5194169
c1(CC)c(CC)c(CC)cc(CC)c1,522,454.5375,387.075,319.6125,252.15,0.07856492,0.090110452,0.101655985,0.113201517,0.124747049,-3.075537342,293.7372158
[Si](OCC)(OCC)(OCC)OCC,440.9,378.4175,315.935,253.4525,190.97,0.100957865,0.115963037,0.13096821,0.145973382,0.160978554,-2.742200534,213.2976438
c1ccccc1(CCCCCCCCCCCCCC),627.15,542.65,458.15,373.65,289.15,0.075713192,0.089490917,0.103268643,0.117046368,0.130824093,-3.163887955,391.2006518
C=CCCCCCCCCCCCC,524.25,458.2625,392.275,326.2875,260.3,0.097859848,0.110010126,0.122160404,0.134310683,0.146460961,-2.809490722,267.5837932
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),330.3,293.975,257.65,221.325,185,0.056515181,0.063043873,0.069572566,0.076101258,0.08262995,-3.447424266,196.339242
[Sn](Cl)(Cl)(Cl)(Cl),386.98,349.985,312.99,275.995,239,0.041722148,0.045192482,0.048662817,0.052133151,0.055603485,-3.712267685,211.9746134
[Ge](Cl)(Cl)(Cl)Cl,356.35,322.685,289.02,255.355,221.69,0.084120999,0.090896417,0.097671835,0.104447253,0.111222671,-3.005123444,192.8834169
C(Cl)(Cl)=C(Cl)Cl,418.81,376.8075,334.805,292.8025,250.8,0.079585523,0.090157552,0.100729582,0.111301611,0.12187364,-3.277291711,321.6815576
C(Cl)(Cl)C(Cl)(Cl),373.15,353.15,333.15,313.15,293.15,0.098936373,0.102613373,0.106290373,0.109967373,0.113644373,-2.860528109,205.2606532
C(Cl)(Cl)(Cl)C(Cl),403.65,353.4725,303.295,253.1175,202.94,0.0798392,0.08947328,0.09910736,0.10874144,0.11837552,-3.012177817,205.2537252
C(Cl)CC[Si](Cl)(Cl)Cl,455.45,397.6625,339.875,282.0875,224.3,0.103851688,0.116637172,0.129422656,0.142208141,0.154993625,-2.739752563,227.7630868
BrC(Br)C(Br)Br,613.15,528.15,443.15,358.15,273.15,0.04903061,0.058709559,0.06838851,0.078067459,0.08774641,-3.602645623,388.1229711
C1(C)=CCC(=C(C)C)CC1,460,401.0825,342.165,283.2475,224.33,0.091174,0.102668804,0.114163609,0.125658413,0.137153217,-2.871287775,231.075406
ClS(=O)(=O)Cl,342.55,311.6625,280.775,249.8875,219,0.115848459,0.124198276,0.132548094,0.140897912,0.14924773,-2.668493793,179.0995726
O=S(=O)=O,481.47,433.59,385.71,337.83,289.95,0.062371499,0.093313489,0.13645155,0.191785681,0.259315882,-5.323032971,1258.30776
ClSCl,332.65,287.275,241.9,196.525,151.15,0.116761805,0.128391418,0.14002103,0.151650643,0.163280255,-2.494147779,122.4839637
Cl[Si](Cl)(Cl)Cl,330,318.2875,306.575,294.8625,283.15,0.09539,0.096865775,0.09834155,0.099817325,0.1012931,-2.729376196,125.4990505
COC(C)COC(C)COC(C)CO,515.55,444.45,373.35,302.25,231.15,0.098172634,0.116518566,0.134864499,0.153210433,0.171556365,-2.889842499,315.3512821
c1(O)ccccc1(C=O),469.65,420.925,372.2,323.475,274.75,0.12227781,0.134780645,0.14728348,0.159786315,0.17228915,-2.668503539,274.1515482
c1(cccn2)c2cccc1,450,402.0925,354.185,306.2775,258.37,0.12154,0.129684275,0.13782855,0.145972825,0.1541171,-2.482035541,173.3623088
CC(=O)C(=O)O,438.15,400.3,362.45,324.6,286.75,0.11450996,0.12441152,0.13431308,0.14421464,0.1541162,-2.808617747,286.1709281
C1CCC(=O)N1,524.32,467.5275,410.735,353.9425,297.15,0.140793456,0.154236241,0.167679026,0.18112181,0.194564595,-2.459744227,270.2475614
C1CCCN1,513.15,438.69,364.23,289.77,215.31,0.109323319,0.12338733,0.140849769,0.161710638,0.185969935,-2.690911956,256.6734259
C1=CC=CN1,403,364.685,326.37,288.055,249.74,0.13594345,0.146244438,0.156545426,0.166846413,0.177147401,-2.492362128,204.6394986
OCC#C,386.65,345.325,304,262.675,221.35,0.142162038,0.155479019,0.168796,0.182112981,0.195429963,-2.452336316,199.9523385
S1C=CC=C1(CCC),431.65,376.2375,320.825,265.4125,210,0.10421381,0.117065915,0.129236665,0.140726062,0.151534105,-2.700831834,201.5257463
c1cccc2c1(c(CCC)ccc2),545.93,475.585,405.24,334.895,264.55,0.092964679,0.104781232,0.116597785,0.128414338,0.140230891,-2.84985764,273.3777481
CCCS,340.87,295.64,250.41,205.18,159.95,0.122932746,0.135839126,0.148745507,0.161651887,0.174558268,-2.478249803,137.8328498
C1CCO1,321,284.7875,248.575,212.3625,176.15,0.12895813,0.140961487,0.152964845,0.164968202,0.17697156,-2.505547016,152.0395898
CC(=O)OC(C)COC,418.65,365.2375,311.825,258.4125,205,0.09918709,0.111653568,0.124120045,0.136586522,0.149053,-2.789203649,211.1243071
CCOCC(C)OC(=O)C,438,381.75,325.5,269.25,213,0.07955554,0.090252602,0.100949665,0.111646727,0.12234379,-3.031351399,231.281683
OC(C)CO,460.75,398.85,336.95,275.05,213.15,0.192300725,0.195377155,0.198453585,0.201530015,0.204606445,-1.713693698,31.40119072
C1CCCCC1CCC,429.897,366.98525,304.0735,241.16175,178.25,0.092700878,0.105270017,0.117839155,0.130408294,0.142977433,-2.768391946,181.6743989
CCCN,397.56,345.7075,293.855,242.0025,190.15,0.160158846,0.164976476,0.17275956,0.183508099,0.197222093,-2.045562937,84.78274993
CCC(=O)OCCC,455,390.5625,326.125,261.6875,197.25,0.0925065,0.110529669,0.128552838,0.146576006,0.164599175,-2.937400194,274.3484134
CCCOC(=O)C(C)=C,469.7,399.275,328.85,258.425,188,0.090395149,0.108059852,0.125724555,0.143389257,0.16105396,-2.898334264,255.4430675
CC(C)C(=O)OCCC,471.32,403.49,335.66,267.83,200,0.085370297,0.102245723,0.119121149,0.135996574,0.152872,-3.005552295,279.1777365
CCCI,375.6,324.675,273.75,222.825,171.9,0.073083448,0.083187986,0.093292525,0.103397064,0.113501602,-3.078289644,185.0551744
CCCOC(=O)C=C,455,392.5,330,267.5,205,0.0934145,0.11092075,0.128427,0.14593325,0.1634395,-2.945277994,280.9109771
CC(=O)OCCC,434.82,370.6525,306.485,242.3175,178.15,0.098579728,0.118445986,0.138312244,0.158178502,0.17804476,-2.841182743,249.6309804
OCCOCCOCCOCCC,538.5,461.375,384.25,307.125,230,0.10155418,0.120937235,0.14032029,0.159703345,0.1790864,-2.822818889,313.0010299
CCCOCCOCCO,487.99,421.03,354.07,287.11,220.15,0.115709365,0.132348255,0.148987146,0.165626036,0.182264926,-2.62294266,243.2863317
CCCOCCO,424.5,364.1625,303.825,243.4875,183.15,0.132744495,0.150573623,0.168402751,0.186231879,0.204061007,-2.430340797,187.7242882
CC(O)COCCC,421.85,364.675,307.5,250.325,193.15,0.11789322,0.133475122,0.149057025,0.164638928,0.180220831,-2.583571071,200.2538711
CCC#N,370.25,322.78,275.31,227.84,180.37,0.143699855,0.15956338,0.175426904,0.191290429,0.207153953,-2.365041764,165.7223801
